year,type,importance,event,image,link,
1984,thailand,2,Grammy ประสบความสำเร็จจากอัลบั้มของเต๋อ เรวัตกับคาราบาว,gmm grammy.png,https://th.wikipedia.org/wiki/%E0%B8%88%E0%B8%B5%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1_%E0%B9%81%E0%B8%81%E0%B8%A3%E0%B8%A1%E0%B8%A1%E0%B8%B5%E0%B9%88
1984,world,3,คอมพิวเตอร์ส่วนตัวเครื่องแรกวางขาย,macintosh.png,https://en.wikipedia.org/wiki/Macintosh
1985,thailand,4,แมคโดนัลด์เปิดสาขาแรกในไทย,unlicensed mcdonald.jpg,
1985,world,5,Super Mario เกมแรกวางขาย,super mario.png,https://en.wikipedia.org/wiki/Super_Mario
1986,thailand,4,"เบิร์ด ธงไชยออกอัลบั้มแรก ""หาดทราย สายลม สองเรา""",bird tongchai.jpg,https://en.wikipedia.org/wiki/Thongchai_McIntyre
1986,thailand,3,"อัสนี-วสันต์ออกอัลบั้มแรก ""บ้าหอบฟาง""",unlicensed assanee wasant.jpg,https://th.wikipedia.org/wiki/%E0%B8%AD%E0%B8%B1%E0%B8%AA%E0%B8%99%E0%B8%B5-%E0%B8%A7%E0%B8%AA%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B9%8C
1986,thailand,2,ประกาศใช้เหรียญ 5 บาท,5 baht.png,
1986,world,1,ภัยพิบัติเชียร์โนบีล,Chernobyl Disaster.jpg,https://en.wikipedia.org/wiki/Chernobyl_disaster
1987,thailand,2,สะพานพระราม 9 เปิดให้บริการ,rama 9 bridge.jpg,https://th.wikipedia.org/wiki/%E0%B8%AA%E0%B8%B0%E0%B8%9E%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A1_9
1988,thailand,1,ประกาศใช้เหรียญ 10 บาท,10 baht.png,
1989,thailand,4,7-Eleven เปิดสาขาแรกในไทยบนถนนพัฒน์พงศ์,unlicensed 7-11.jpg,https://en.wikipedia.org/wiki/Charoen_Pokphand#7-Eleven
1989,world,1,World Wide Web ถือกำเนิด,www.png,https://en.wikipedia.org/wiki/World_Wide_Web
1989,world,2,การประท้วงที่จัตุรัสเทียนอันเหมิน,tiananmen sq protest.jpg,https://en.wikipedia.org/wiki/1989_Tiananmen_Square_protests
1989,world,3,อองซานซูจีถูกกักบริเวณในบ้าน,aung san.jpg,https://en.wikipedia.org/wiki/Aung_San_Suu_Kyi
1990,world,1,ทลายกำแพงเบอร์ลิน สิ้นสุดสงครามเย็น,berlin wall.jpg,https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall
1991,world,2,สหภาพโซเวียตล่มสลาย,dissolution of ussr.png,https://en.wikipedia.org/wiki/Dissolution_of_the_Soviet_Union
1991,world,3,ไมเคิลจอร์แดนพา Chicago Bulls ชนะ NBA ครั้งแรก,michael jordan.jpg,https://en.wikipedia.org/wiki/Michael_Jordan
1992,thailand,1,พฤษภาทมิฬ,black may.jpg,https://th.wikipedia.org/wiki/%E0%B8%9E%E0%B8%A4%E0%B8%A9%E0%B8%A0%E0%B8%B2%E0%B8%97%E0%B8%A1%E0%B8%B4%E0%B8%AC
1993,thailand,3,เจเจตรินออกอัลบั้ม 108-1009 (คาใจ ก็ใครมันจะไปรู้ล่ะ ประมาณนี้หรือเปล่า),unlicensed jetrin.jpg,https://th.wikipedia.org/wiki/%E0%B9%80%E0%B8%88%E0%B8%95%E0%B8%A3%E0%B8%B4%E0%B8%99_%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%98%E0%B8%99%E0%B8%B0%E0%B8%AA%E0%B8%B4%E0%B8%99#%E0%B8%9C%E0%B8%A5%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%87
1993,world,2,สหภาพยุโรปก่อตั้ง,eu.png,https://en.wikipedia.org/wiki/European_Union
1994,world,1,เนลสัน เมนเดลา เป็นประธานาธิบดี,mendela.jpg,https://en.wikipedia.org/wiki/Nelson_Mandela
